"last_name, first_name",player_id,year,fc_avg_speed,fc_avg_spin,fc_avg_break_x,fc_avg_break_z_induced
"Abbott, Andrew",671096,2025,88.6,2495,-0.6,8.4
"Alcantara, Sandy",645261,2025,0,0,0,0
"Allen, Logan",671106,2025,85.6,2271,-4.3,6.3
"Anderson, Tyler",542881,2025,84.3,2294,-1.7,13.4
"Bassitt, Chris",605135,2025,88.5,2223,0.8,8.5
"Baz, Shane",669358,2025,90.2,2344,2.5,7.8
"Bello, Brayan",678394,2025,88.3,2479,0.9,2.7
"Berríos, José",621244,2025,89.6,2308,0,10
"Bibee, Tanner",676440,2025,86.1,2701,8,3.1
"Boyd, Matthew",571510,2025,0,0,0,0
"Bradley, Taj",671737,2025,89.7,2177,3.9,5.6
"Brown, Hunter",686613,2025,92.7,2259,3.3,7.3
"Buehler, Walker",621111,2025,90.6,2419,4.4,10.9
"Burke, Sean",680732,2025,0,0,0,0
"Cabrera, Edward",665795,2025,0,0,0,0
"Cameron, Noah",702070,2025,88.1,2460,-3.8,6.5
"Castillo, Luis",622491,2025,0,0,0,0
"Cease, Dylan",656302,2025,0,0,0,0
"Cecconi, Slade",677944,2025,88.9,2295,0.8,7.1
"Corbin, Patrick",571578,2025,87.4,2325,-0.9,6.5
"Crochet, Garrett",676979,2025,90.9,2598,-3.7,6.2
"deGrom, Jacob",594798,2025,0,0,0,0
"Elder, Bryce",693821,2025,0,0,0,0
"Eovaldi, Nathan",543135,2025,90.5,2301,0.4,11.5
"Falter, Bailey",663559,2025,0,0,0,0
"Fedde, Erick",607200,2025,90.3,2137,1.2,9.2
"Flaherty, Jack",656427,2025,0,0,0,0
"Freeland, Kyle",607536,2025,87.4,2367,0.5,6.3
"Fried, Max",608331,2025,93.6,2303,-1.5,9
"Gallen, Zac",668678,2025,89.5,2340,3.4,9.6
"Gausman, Kevin",592332,2025,0,0,0,0
"Gilbert, Logan",669302,2025,0,0,0,0
"Giolito, Lucas",608337,2025,0,0,0,0
"Gore, MacKenzie",669022,2025,90.3,1968,-0.4,8
"Gray, Sonny",543243,2025,87.8,2678,5.1,2.2
"Heaney, Andrew",571760,2025,0,0,0,0
"Hendricks, Kyle",543294,2025,0,0,0,0
"Holmes, Clay",605280,2025,89.8,2446,1.1,5.1
"Holmes, Grant",656550,2025,92.1,2542,-0.2,10.5
"Houser, Adrian",605288,2025,0,0,0,0
"Imanaga, Shota",684007,2025,0,0,0,0
"Irvin, Jake",663623,2025,87.3,2463,2.7,6.7
"Keller, Mitch",656605,2025,92.4,2427,1.3,9.6
"Kelly, Merrill",518876,2025,90.7,2366,-3,12
"Kikuchi, Yusei",579328,2025,0,0,0,0
"Kirby, George",669923,2025,0,0,0,0
"Kochanowicz, Jack",686799,2025,0,0,0,0
"Kremer, Dean",665152,2025,86.9,2400,4.8,5.9
"Leiter, Jack",683004,2025,0,0,0,0
"Liberatore, Matthew",669461,2025,90.2,2502,-2.1,10.6
"Littell, Zack",641793,2025,0,0,0,0
"Lodolo, Nick",666157,2025,0,0,0,0
"Lord, Brad",695418,2025,0,0,0,0
"Lorenzen, Michael",547179,2025,90.2,2520,-1.1,8.3
"Lugo, Seth",607625,2025,89.2,2453,1.3,10.9
"Luzardo, Jesús",666200,2025,0,0,0,0
"Márquez, Germán",608566,2025,0,0,0,0
"Martin, Davis",663436,2025,88.2,2579,1.8,4.9
"Martinez, Nick",607259,2025,89.1,2365,1.9,11.4
"May, Dustin",669160,2025,91.4,2496,-0.4,6.8
"Mikolas, Miles",571945,2025,0,0,0,0
"Mize, Casey",663554,2025,0,0,0,0
"Morton, Charlie",450203,2025,88,2514,0.9,5.3
"Nelson, Ryne",669194,2025,90.6,2226,2.4,6.9
"Ober, Bailey",641927,2025,0,0,0,0
"Paddack, Chris",663978,2025,88.7,2031,0.5,10.3
"Pallante, Andre",669467,2025,0,0,0,0
"Parker, Mitchell",680730,2025,0,0,0,0
"Patrick, Chad",694477,2025,87.9,2409,3.8,12.3
"Pepiot, Ryan",686752,2025,91.5,2516,2.7,13.7
"Peralta, Freddy",642547,2025,0,0,0,0
"Peterson, David",656849,2025,0,0,0,0
"Pfaadt, Brandon",694297,2025,89.8,2752,2.2,6.9
"Pivetta, Nick",601713,2025,90.1,2349,4.6,10.7
"Priester, Quinn",682990,2025,92.3,2352,0.7,11.1
"Quantrill, Cal",615698,2025,88.9,2306,2.2,8.4
"Quintana, Jose",500779,2025,0,0,0,0
"Rasmussen, Drew",656876,2025,90.3,2704,4.5,3.9
"Ray, Robbie",592662,2025,0,0,0,0
"Rea, Colin",607067,2025,88.2,2208,1.6,7.8
"Rodón, Carlos",607074,2025,92.4,2383,3.6,7.5
"Rodriguez, Eduardo",593958,2025,89.3,2266,-1,9.5
"Ryan, Joe",657746,2025,0,0,0,0
"Sánchez, Cristopher",650911,2025,0,0,0,0
"Sears, JP",676664,2025,0,0,0,0
"Senga, Kodai",673540,2025,89.6,2470,-1,8.6
"Senzatela, Antonio",622608,2025,0,0,0,0
"Severino, Luis",622663,2025,93.2,2287,0.7,9.3
"Singer, Brady",663903,2025,87.5,2350,1.6,7.6
"Skenes, Paul",694973,2025,0,0,0,0
"Skubal, Tarik",669373,2025,0,0,0,0
"Smith, Shane",681343,2025,0,0,0,0
"Soriano, José",667755,2025,0,0,0,0
"Springs, Jeffrey",605488,2025,86.8,2202,0.4,8.5
"Strider, Spencer",675911,2025,0,0,0,0
"Suárez, Ranger",624133,2025,86.4,2110,-2.6,6.1
"Sugano, Tomoyuki",608372,2025,88.2,2471,1.6,5.8
"Valdez, Framber",664285,2025,0,0,0,0
"Vásquez, Randy",681190,2025,90.3,2504,1.4,11
"Verlander, Justin",434378,2025,0,0,0,0
"Wacha, Michael",608379,2025,88.2,2113,2,9.3
"Walker, Taijuan",592836,2025,87.1,2432,3.1,12.7
"Warren, Will",701542,2025,0,0,0,0
"Webb, Logan",657277,2025,91,2221,-2,7.7
"Wheeler, Zack",554430,2025,91.8,2564,0.8,9.4
"Williams, Gavin",668909,2025,91.8,2288,-2.3,7.1
"Woo, Bryan",693433,2025,0,0,0,0
"Yamamoto, Yoshinobu",808967,2025,91.2,2436,3.5,7.8
