"last_name, first_name",player_id,year,fs_avg_speed,fs_avg_spin,fs_avg_break_x,fs_avg_break_z_induced
"Abbott, Andrew",671096,2025,0,0,0,0
"Alcantara, Sandy",645261,2025,0,0,0,0
"Allen, Logan",671106,2025,0,0,0,0
"Anderson, Tyler",542881,2025,0,0,0,0
"Bassitt, Chris",605135,2025,83.6,1366,-14.4,-0.8
"Baz, Shane",669358,2025,0,0,0,0
"Bello, Brayan",678394,2025,0,0,0,0
"Berríos, José",621244,2025,0,0,0,0
"Bibee, Tanner",676440,2025,0,0,0,0
"Boyd, Matthew",571510,2025,0,0,0,0
"Bradley, Taj",671737,2025,91.3,1692,-12.8,8.8
"Brown, Hunter",686613,2025,0,0,0,0
"Buehler, Walker",621111,2025,0,0,0,0
"Burke, Sean",680732,2025,0,0,0,0
"Cabrera, Edward",665795,2025,0,0,0,0
"Cameron, Noah",702070,2025,0,0,0,0
"Castillo, Luis",622491,2025,0,0,0,0
"Cease, Dylan",656302,2025,0,0,0,0
"Cecconi, Slade",677944,2025,0,0,0,0
"Corbin, Patrick",571578,2025,0,0,0,0
"Crochet, Garrett",676979,2025,0,0,0,0
"deGrom, Jacob",594798,2025,0,0,0,0
"Elder, Bryce",693821,2025,0,0,0,0
"Eovaldi, Nathan",543135,2025,87.6,1513,-12.4,0.2
"Falter, Bailey",663559,2025,85.3,933,3.8,10.5
"Fedde, Erick",607200,2025,0,0,0,0
"Flaherty, Jack",656427,2025,0,0,0,0
"Freeland, Kyle",607536,2025,0,0,0,0
"Fried, Max",608331,2025,0,0,0,0
"Gallen, Zac",668678,2025,0,0,0,0
"Gausman, Kevin",592332,2025,84.9,1705,-15.6,4.5
"Gilbert, Logan",669302,2025,81.9,735,-4.8,-0.8
"Giolito, Lucas",608337,2025,0,0,0,0
"Gore, MacKenzie",669022,2025,0,0,0,0
"Gray, Sonny",543243,2025,0,0,0,0
"Heaney, Andrew",571760,2025,0,0,0,0
"Hendricks, Kyle",543294,2025,0,0,0,0
"Holmes, Clay",605280,2025,0,0,0,0
"Holmes, Grant",656550,2025,0,0,0,0
"Houser, Adrian",605288,2025,0,0,0,0
"Imanaga, Shota",684007,2025,83,1278,12.9,6.7
"Irvin, Jake",663623,2025,0,0,0,0
"Keller, Mitch",656605,2025,0,0,0,0
"Kelly, Merrill",518876,2025,0,0,0,0
"Kikuchi, Yusei",579328,2025,0,0,0,0
"Kirby, George",669923,2025,86,918,-11.5,1.6
"Kochanowicz, Jack",686799,2025,0,0,0,0
"Kremer, Dean",665152,2025,81.9,1128,-10.6,9.7
"Leiter, Jack",683004,2025,0,0,0,0
"Liberatore, Matthew",669461,2025,0,0,0,0
"Littell, Zack",641793,2025,83.4,1102,-11.6,-0.9
"Lodolo, Nick",666157,2025,0,0,0,0
"Lord, Brad",695418,2025,0,0,0,0
"Lorenzen, Michael",547179,2025,0,0,0,0
"Lugo, Seth",607625,2025,84.3,1416,-9.8,4.1
"Luzardo, Jesús",666200,2025,0,0,0,0
"Márquez, Germán",608566,2025,0,0,0,0
"Martin, Davis",663436,2025,0,0,0,0
"Martinez, Nick",607259,2025,0,0,0,0
"May, Dustin",669160,2025,0,0,0,0
"Mikolas, Miles",571945,2025,0,0,0,0
"Mize, Casey",663554,2025,88.6,1443,-14.4,4.3
"Morton, Charlie",450203,2025,0,0,0,0
"Nelson, Ryne",669194,2025,0,0,0,0
"Ober, Bailey",641927,2025,0,0,0,0
"Paddack, Chris",663978,2025,0,0,0,0
