"last_name, first_name",player_id,year,ff_avg_speed,ff_avg_spin,ff_avg_break_x,ff_avg_break_z_induced
"Bradley, Taj",671737,2025,96.2,2297,-7,18
"Patrick, Chad",694477,2025,94.2,2331,-7,16.6
"Houser, Adrian",605288,2025,95.2,2300,-10.7,15
"Leiter, Jack",683004,2025,97.2,2421,-8.7,17.4
"Quantrill, Cal",615698,2025,93.6,2137,-10.2,16.5
"Skubal, Tarik",669373,2025,97.5,2351,3.6,17
"Ober, Bailey",641927,2025,90.3,2288,-8.1,16.9
"Crochet, Garrett",676979,2025,96.4,2459,8,15.9
"Rodón, Carlos",607074,2025,94.2,2347,10.8,17.6
"Liberatore, Matthew",669461,2025,93.9,2112,7.2,16.3
"Rasmussen, Drew",656876,2025,95.8,2481,-4.1,17.3
"Quintana, Jose",500779,2025,90.4,2095,4.5,16
"Flaherty, Jack",656427,2025,92.9,2262,-5.8,15.8
"Brown, Hunter",686613,2025,96.6,2273,-6.8,17.3
"Gallen, Zac",668678,2025,93.5,2320,-4.3,17.1
"Pivetta, Nick",601713,2025,93.8,2323,-2.5,19.7
"Giolito, Lucas",608337,2025,93.3,2233,-6.8,18.1
"Peterson, David",656849,2025,92.2,2131,4.7,13.5
"Morton, Charlie",450203,2025,94.2,2324,-11.9,12.5
"Gray, Sonny",543243,2025,91.7,2499,1.4,10.5
"Warren, Will",701542,2025,93.3,2572,-7.9,15.4
"Hendricks, Kyle",543294,2025,86.5,2047,-5.9,14.2
"Buehler, Walker",621111,2025,94,2254,-5.7,16.9
"Priester, Quinn",682990,2025,0,0,0,0
"Mikolas, Miles",571945,2025,92.9,2217,-8.4,14.9
"Sears, JP",676664,2025,92.2,2020,12,14.1
"Allen, Logan",671106,2025,91.2,2229,6.3,16.3
"deGrom, Jacob",594798,2025,97.5,2517,-8.9,16.5
"Webb, Logan",657277,2025,92.7,2117,-9,10.7
"Littell, Zack",641793,2025,92.1,2004,-7.3,16.1
"Peralta, Freddy",642547,2025,94.8,2442,-4.6,16.7
"Keller, Mitch",656605,2025,94,2405,-8.6,15.1
"Walker, Taijuan",592836,2025,92.1,2126,-9.1,17.1
"Senga, Kodai",673540,2025,94.7,2380,-7.6,16.4
"Baz, Shane",669358,2025,96.9,2456,-9.9,16.7
"Eovaldi, Nathan",543135,2025,94.1,2228,-13.3,13
"Suárez, Ranger",624133,2025,91.3,1948,6.1,11.5
"May, Dustin",669160,2025,95.4,2344,-11.3,12.9
"Boyd, Matthew",571510,2025,93.3,2318,13.2,13
"Kochanowicz, Jack",686799,2025,95.5,2251,-7.2,14.1
"Sugano, Tomoyuki",608372,2025,92.7,2390,-5.7,16.7
"Martinez, Nick",607259,2025,92.6,2317,-5.4,17.8
"Bassitt, Chris",605135,2025,91.5,2150,-5.2,11.2
"Pepiot, Ryan",686752,2025,95.1,2411,-7.8,19.1
"Freeland, Kyle",607536,2025,91.6,2409,7.9,15.1
"Corbin, Patrick",571578,2025,91.5,2143,8.7,15.1
"Cecconi, Slade",677944,2025,94.4,2395,-10.8,15.8
