"last_name, first_name",player_id,year,si_avg_speed,si_avg_spin,si_avg_break_x,si_avg_break_z_induced
"Abbott, Andrew",671096,2025,0,0,0,0
"Alcantara, Sandy",645261,2025,97.2,2326,-17.7,8.1
"Allen, Logan",671106,2025,89,1966,13.7,9.3
"Anderson, Tyler",542881,2025,88.4,2142,16.3,10.5
"Bassitt, Chris",605135,2025,91.6,2102,-16.2,4.6
"Baz, Shane",669358,2025,0,0,0,0
"Bello, Brayan",678394,2025,95.3,2122,-16.9,5.6
"Berríos, José",621244,2025,92.1,2027,-16.1,10.8
"Bibee, Tanner",676440,2025,94.1,2226,-14,9.6
"Boyd, Matthew",571510,2025,92,2281,16.9,8.9
"Bradley, Taj",671737,2025,0,0,0,0
"Brown, Hunter",686613,2025,95.7,2177,-14.1,13.2
"Buehler, Walker",621111,2025,93.8,2128,-15.3,10.9
"Burke, Sean",680732,2025,93.9,2404,-13,15.4
"Cabrera, Edward",665795,2025,96.8,2306,-17.2,9.7
"Cameron, Noah",702070,2025,0,0,0,0
"Castillo, Luis",622491,2025,94.8,2033,-18.5,3.7
"Cease, Dylan",656302,2025,96.1,2499,-10.6,15
"Cecconi, Slade",677944,2025,93.6,2264,-16.3,8.6
"Corbin, Patrick",571578,2025,91.5,2092,15.2,11
"Crochet, Garrett",676979,2025,96,2400,16.3,8.1
"deGrom, Jacob",594798,2025,0,0,0,0
"Elder, Bryce",693821,2025,91.4,2093,-14.5,8.2
"Eovaldi, Nathan",543135,2025,93.3,2137,-17.7,9.6
"Falter, Bailey",663559,2025,92.1,2073,7.6,18.1
"Fedde, Erick",607200,2025,93.2,1973,-11.7,9.4
"Flaherty, Jack",656427,2025,90.7,2068,-14.6,8.2
"Freeland, Kyle",607536,2025,91.4,2273,14.1,8
"Fried, Max",608331,2025,94,2132,9.9,4.3
"Gallen, Zac",668678,2025,93.3,2167,-11.1,14.3
"Gausman, Kevin",592332,2025,93.7,2280,-18.6,18.1
"Gilbert, Logan",669302,2025,95.6,2162,-14.3,14
"Giolito, Lucas",608337,2025,0,0,0,0
"Gore, MacKenzie",669022,2025,0,0,0,0
"Gray, Sonny",543243,2025,92.4,2386,-10.5,8.4
"Heaney, Andrew",571760,2025,89.2,2364,18.5,3.1
"Hendricks, Kyle",543294,2025,86.2,1980,-13.9,7.2
"Holmes, Clay",605280,2025,93.7,2185,-14.9,3
"Holmes, Grant",656550,2025,93.2,2420,-8,7.5
"Houser, Adrian",605288,2025,94.4,2199,-17.1,7
