Name,player id,Stf+ FA,Stf+ SI,Stf+ FC,Stf+ FS,Stf+ SL,Stf+ CU,Stf+ CH
"Abbott, Andrew",671096,94.01055053,0,92.3054386,0,116.1894051,96.60046272,91.44424951
"Alcantara, Sandy",645261,102.7081218,107.2576337,0,0,110.247643,119.4294779,105.7741085
"Allen, Logan",671106,94.01328829,83.96123167,93.45927393,0,102.2536978,0,82.32729167
"Anderson, Tyler",542881,93.48055991,88.91835294,94.24045929,0,101.0163415,74.752,103.6466667
"Bassitt, Chris",605135,83.44798479,100.72838,94.93514644,84.25891473,106.8848361,94.84882609,73.13947368
"Baz, Shane",669358,100.559129,0,104.72505,0,108.2358242,125.1651436,83.13504823
"Bello, Brayan",678394,89.17118227,112.0143875,94.0494,0,91.2563838,0,79.73384236
"Berríos, José",621244,85.71891213,89.03168433,85.75052632,0,0,95.83948747,81.09511521
"Bibee, Tanner",676440,84.35559113,110.2458065,102.0828986,0,112.0488306,106.3522156,113.3342984
"Boyd, Matthew",571510,86.09274295,98.86752475,0,0,112.5649383,101.1332903,94.10581538
"Bradley, Taj",671737,103.5004924,117.612,104.7108108,92.60295455,0,100.9885373,0
"Brown, Hunter",686613,112.3017956,113.8303963,102.0158537,0,93.6989313,103.695283,89.38353933
"Buehler, Walker",621111,95.51523452,96.12691429,93.12268156,0,101.3357676,105.8745185,77.53771429
"Burke, Sean",680732,101.7023529,84.82066667,0,0,88.72200009,78.60769231,86.77957746
"Cabrera, Edward",665795,94.12759857,100.055902,0,0,105.5281266,118.7386139,100.6519065
"Cameron, Noah",702070,82.17717352,0,96.13173516,0,99.75635762,100.554677,100.1850526
"Castillo, Luis",622491,91.96290043,89.93733538,0,0,113.7141544,0,93.39217647
"Cease, Dylan",656302,104.4402716,94.65486842,0,0,114.7383247,92.11277778,109.4288235
"Cecconi, Slade",677944,87.25527778,93.92117647,89.92654545,0,96.98391421,100.9303049,94.5116
"Corbin, Patrick",571578,84.91560976,96.71734286,90.87427663,0,100.4487021,79.68,93.0882906
"Crochet, Garrett",676979,111.7821404,101.9187149,117.1839498,0,141.58064,0,102.011194
"deGrom, Jacob",594798,104.5935827,0,0,0,117.7297864,104.3,111.9277288
"Elder, Bryce",693821,69.94148387,90.08181474,0,0,97.89183673,0,90.36676806
"Eovaldi, Nathan",543135,93.96439815,105.6583505,89.17090909,98.69448505,92.9075,105.0905541,0
"Falter, Bailey",663559,101.6941048,100.7983521,0,82.37231788,88.2449468,89.23624494,0
"Fedde, Erick",607200,0,85.56862794,82.36509036,0,112.7872976,0,80.50049822
"Flaherty, Jack",656427,98.89709118,81.41333333,0,0,91.66750751,106.7806964,75.90138889
"Freeland, Kyle",607536,90.99741445,85.39350993,86.51446809,0,105.4633227,105.6755414,74.06493151
"Fried, Max",608331,106.6900775,112.3013067,109.7900459,0,117.6339336,116.0463315,104.7878006
"Gallen, Zac",668678,97.5773343,84.76,93.28395349,0,90.93945205,91.16544693,82.65212632
"Gausman, Kevin",592332,97.53399497,118.74,0,104.6876121,94.45232558,0,0
"Gilbert, Logan",669302,87.58815894,98.772,0,144.3291443,79.50815825,86.39424837,0
"Giolito, Lucas",608337,80.4969808,0,0,0,94.71867769,108.2587654,110.3165918
"Gore, MacKenzie",669022,101.2706061,0,101.72,0,98.54410876,91.14127596,92.37453287
"Gray, Sonny",543243,84.77927393,96.80964059,85.92459302,0,123.8296479,90.56120968,80.55790393
